root_bw,root_ar,sura,sura_name,sura_type,count
gDb,غ-ض-ب,21,الأنبياء,meccan,1
gDb,غ-ض-ب,24,النور,medinan,1
gDb,غ-ض-ب,42,الشورى,meccan,2
gDb,غ-ض-ب,48,الفتح,medinan,1
gDb,غ-ض-ب,58,المجادلة,medinan,1
gDb,غ-ض-ب,60,الممتحنة,medinan,1
Hrd,ح-ر-د,68,القلم,meccan,1
gyZ,غ-ي-ظ,3,آل عمران,medinan,3
gyZ,غ-ي-ظ,9,التوبة,medinan,2
gyZ,غ-ي-ظ,22,الحج,medinan,1
gyZ,غ-ي-ظ,25,الفرقان,meccan,1
gyZ,غ-ي-ظ,26,الشعراء,meccan,1
gyZ,غ-ي-ظ,33,الأحزاب,medinan,1
gyZ,غ-ي-ظ,48,الفتح,medinan,1
gyZ,غ-ي-ظ,67,الملك,meccan,1
bgy,ب-غ-ي,2,البقرة,medinan,8
bgy,ب-غ-ي,3,آل عمران,medinan,6
bgy,ب-غ-ي,4,النساء,medinan,6
bgy,ب-غ-ي,5,المائدة,medinan,3
bgy,ب-غ-ي,6,الأنعام,meccan,5
bgy,ب-غ-ي,7,الأعراف,meccan,4
bgy,ب-غ-ي,9,التوبة,medinan,2
bgy,ب-غ-ي,10,يونس,meccan,3
bgy,ب-غ-ي,11,هود,meccan,1
bgy,ب-غ-ي,12,يوسف,meccan,1
bgy,ب-غ-ي,13,الرعد,medinan,2
bgy,ب-غ-ي,14,ابراهيم,meccan,1
bgy,ب-غ-ي,16,النحل,meccan,3
bgy,ب-غ-ي,17,الإسراء,meccan,6
bgy,ب-غ-ي,18,الكهف,meccan,2
bgy,ب-غ-ي,19,مريم,meccan,3
bgy,ب-غ-ي,22,الحج,medinan,1
bgy,ب-غ-ي,23,المؤمنون,meccan,1
bgy,ب-غ-ي,24,النور,medinan,3
bgy,ب-غ-ي,25,الفرقان,meccan,1
bgy,ب-غ-ي,26,الشعراء,meccan,1
bgy,ب-غ-ي,28,القصص,meccan,5
bgy,ب-غ-ي,29,العنكبوت,meccan,1
bgy,ب-غ-ي,30,الروم,meccan,2
bgy,ب-غ-ي,33,الأحزاب,medinan,1
bgy,ب-غ-ي,35,فاطر,meccan,1
bgy,ب-غ-ي,36,يس,meccan,2
bgy,ب-غ-ي,38,ص,meccan,3
bgy,ب-غ-ي,42,الشورى,meccan,4
bgy,ب-غ-ي,45,الجاثية,meccan,2
bgy,ب-غ-ي,48,الفتح,medinan,1
bgy,ب-غ-ي,49,الحجرات,medinan,2
bgy,ب-غ-ي,55,الرحمن,medinan,1
bgy,ب-غ-ي,57,الحديد,medinan,1
bgy,ب-غ-ي,59,الحشر,medinan,1
bgy,ب-غ-ي,60,الممتحنة,medinan,1
bgy,ب-غ-ي,62,الجمعة,medinan,1
bgy,ب-غ-ي,66,التحريم,medinan,1
bgy,ب-غ-ي,70,المعارج,meccan,1
bgy,ب-غ-ي,73,المزمل,meccan,1
